graph_type,R_squared,α,Δα
Rede Geométrica,0.6588649256831717,542.1321827688715,2.9505888812225143
Erdős–Rényi,0.8944066716309207,4190.603598694627,3.719981882547938
Watts–Strogatz,0.9931820295951727,4162.112858779243,2.0881641836994738
Barabási–Albert,0.9909004090622713,4110.086646006094,2.5843814238900507
