graph_type,graph_filename,N,E,D,L,C
Barabási–Albert,/tmp/jl_tWUOJ8/233f797f-980c-4d7f-b815-b1095a709246.edgelist,5000,14991,7,4.094865133026605,0.004609674593076242
Erdős–Rényi,/tmp/jl_eu90IQ/d810aa1a-1ca9-4304-ac32-eaf2cfb8e956.edgelist,5000,15016,16,4.9682851770354075,0.000929213818736933
Rede Geométrica,/tmp/jl_6Sb17O/ff94f802-b1fa-4360-a869-e1b639672ad1.edgelist,5000,14986,111,44.52959895979196,0.5847179051409915
Watts–Strogatz,/tmp/jl_8XLiKK/39cea2a2-57e1-4b69-9614-dff3e8dbcd14.edgelist,5000,15000,14,7.960989717943589,0.4326032344167059
