graph_type,R_squared,α,Δα,β,Δβ
Rede Geométrica,0.6634405384015326,29092.021645208373,167.30860212005993,70.27618732211968,1.5592374899793604
Barabási–Albert,0.9911632283446438,244485.16432727012,188.5560217100365,0.5545477322393912,0.08459281760820009
Erdős–Rényi,0.9102401171330735,246938.08278581806,632.853255826937,0.6314054120112086,0.2221816885951976
Watts–Strogatz,0.993783213610683,248046.2005304406,159.66767486957554,0.06484986681698467,0.12678128756600981
