graph_type,graph_filename,N,E,D,L,C
Barabási–Albert,/tmp/jl_DJCSkA/b8d3af4f-2b61-41a9-a8c0-18763d505a31.edgelist,5000,14991,7,4.023489417883576,0.005155319016881827
Erdős–Rényi,/tmp/jl_xkYmd1/766b30b5-31e3-459f-8cc6-7ac5b859cdef.edgelist,5000,15013,13,4.971281136227246,0.0019050165435647204
Geométrica Aleatória,/tmp/jl_UxPGEy/5021cd5f-6090-4917-b778-9dab39b4d377.edgelist,5000,15015,118,44.436613722744546,0.58952710092305
Watts–Strogatz,/tmp/jl_drkmHw/2727cf52-ac38-405b-a6ed-cf416571b755.edgelist,5000,15000,15,7.863716423284657,0.42844811801940835
