graph_type,R_squared,α,Δα,β,Δβ
Barabási–Albert,0.9905431794502717,246284.69078609522,196.5562939285798,0.2693202541141684,0.0861276516104019
Erdős–Rényi,0.895866471830998,247951.92147680087,690.025673205597,0.20146277676383761,0.2396260939879491
Watts–Strogatz,0.993549279292448,247464.30612693224,162.4197794760032,0.010465660634404492,0.12485431763236907
Rede Geométrica,0.6266753176069527,26321.736398106466,164.52978859271747,75.62940091226272,1.6514282937075713
